#;COLAlloc;Quantity;MinQuantity;MaxQuantity;HasSalesBudgetReservation;RequiresOrderCombination;NrOfActiveRoutingChainUpstream;SelectedShippingShop;Вид ГП;DeliveryType;ImgPlannedStatus;RoutingId;Name;ProductId;ProductName;LatestDesiredDeliveryDate;ProductSpecificationId;ResourceGroupIds
0;40357666/3;0;0;0,3;ЛОЖЬ;ЛОЖЬ;4;13;ПХОПП;РЛН;ImgPlannedStatusUpstreamNotPlanned;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;2-февр.-2020;317ED168F65807DA8A39578F1C7FE0DE;G_OTGRD
1;40371430/1;0;0;6,38;ЛОЖЬ;ЛОЖЬ;16;15;ПХОПП;РЛН;ImgPlannedStatusUpstreamNotPlanned;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;5-апр.-2020;636B05F631C5D8FCE2122E86CD019DBE;G_OTGRD
2;40372189/4;0;0;11,4;ЛОЖЬ;ЛОЖЬ;16;15;ПХОПП;РЛН;ImgPlannedStatusUpstreamNotPlanned;40258662|2|01|006T;Отгрузка ЦДС;QHF_0104133_C;Х/к оцинкованный прокат с полимерным покрытием;5-апр.-2020;F9212453C9DB56B4D5798BCFEA424680;G_OTGRD
3;40371193/3;0;0;11,92;ЛОЖЬ;ЛОЖЬ;2;12;ПГ;РЛН;ImgPlannedStatusUpstreamNotPlanned;40184367|1|01|003T;Отгрузка ЦГП;QHF_0103100_C;Г/к прокат углеродистой стали;5-апр.-2020;1D68DC4FA630C91ECC3E923DB6E32E8F;G_OTGRG
4;40364106/1;0;0;1,55;ЛОЖЬ;ЛОЖЬ;2;15;ПХИ;РЛН;ImgPlannedStatusUpstreamNotPlanned;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;1-мар.-2020;0F50FA81A28348D1F075C435D8598485;G_OTGRD, G_VSL1
5;40374450/60;0;0;24,22;ЛОЖЬ;ЛОЖЬ;1;7;С;-;ImgPlannedStatusUpstreamNotPlanned;40360493|1|01|001T;Отгрузка КЦ-2;QHF_0102100_T;Товарный сляб;5-апр.-2020;5A4DB90290B7D5B59C99114FA4F0D80E;G_OTGRO2
6;40367861/1;0;0;12,6;ЛОЖЬ;ЛОЖЬ;1;15;ПХИ;ЛНТ;ImgPlannedStatusUpstreamNotPlanned;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;5-апр.-2020;E63A83B33CF19D9FF74138B84B52F958;G_OTGRD, G_VSL1
7;40364114/1;0;0;1,17;ЛОЖЬ;ЛОЖЬ;1;15;ПХИ;РЛН;ImgPlannedStatusUpstreamNotPlanned;40351434|1|01|001T;Отгрузка ЦДС;QHF_0104120_X;Х/к термообработанный прокат динамной стали;1-мар.-2020;EC33CDD6B243B8D95163F1C942445D6C;G_OTGRD, G_VSL1
8;40362033/5;27,1;20,46;31,46;ИСТИНА;ЛОЖЬ;96;13;ПХТД;ЛСТ;ImgPlannedStatus3;40184259|1|01|059T;Отгрузка ЦХПП;QHF_0104120_C;Х/к термообработанный прокат углеродистой стали;19-апр.-2020;B7C26FB8153F0A2E55C028DFDD7FC174;G_OTGRH
9;40372956/3;64;54,4;70,4;ИСТИНА;ЛОЖЬ;24;15;ПХО;РЛН;ImgPlannedStatus3;40184372|1|02|001T;Отгрузка ЦХПП;QHF_0104131_C;Х/к оцинкованный прокат углеродистой стали;19-апр.-2020;B4D216055A69DBC3749CD541B5F7A89C;G_OTGRH
