#;ResourceGroupID;Id;AvailableCapacity;FreeCapacity;Start;HasFiniteCapacity
0;G_TKT;G_TKT_Seq_36;0;00:00:00;2020-05-21 00:00:00;ÈÑÒÈÍÀ
1;G_APGKRD;G_APGKRD_Seq_16;1 day, 20:06:43.200;00:00:00;2020-05-01 00:00:00;ËÎÆÜ
2;G_ARG2T;G_ARG2T_Seq_40;0,333333333;00:00:00;2020-05-25 00:00:00;ËÎÆÜ
3;G_APRRG;G_APRRG_Seq_23;2 days, 11:21:07.200;00:00:00;2020-05-08 00:00:00;ÈÑÒÈÍÀ
4;G_AR3T;G_AR3T_Seq_44;0,333333333;00:00:00;2020-05-29 00:00:00;ËÎÆÜ
5;G_AR3T;G_AR3T_Seq_43;0,333333333;00:00:00;2020-05-28 00:00:00;ËÎÆÜ
6;G_APRRG;G_APRRG_Seq_20;2 days, 11:21:07.200;00:00:00;2020-05-05 00:00:00;ÈÑÒÈÍÀ
7;G_ST203H;G_ST203H_Seq_7;10:33:45.900;00:00:00;2020-04-22 00:00:00;ËÎÆÜ
8;G_OTGRD;G_OTGRD_Seq_17;1 day;00:00:00;2020-05-02 00:00:00;ËÎÆÜ
9;G_AR3T;G_AR3T_Seq_30;1 day;00:00:00;2020-05-15 00:00:00;ËÎÆÜ
10;G_RSTD;G_RSTD_Seq_19;13:23:31.200;00:00:00;2020-05-04 00:00:00;ËÎÆÜ
11;G_VAO2;G_VAO2_Seq_7;0,558333333;00:00:00;2020-04-22 00:00:00;ËÎÆÜ
12;G_RTRAIN6;G_RTRAIN6_Seq_44;1 day;00:00:00;2020-05-29 00:00:00;ËÎÆÜ
13;G_APGKRD;G_APGKRD_Seq_11;1 day, 20:06:43.200;00:00:00;2020-04-26 00:00:00;ËÎÆÜ
14;G_APGKRD;G_APGKRD_Seq_20;1 day, 20:06:43.200;00:00:00;2020-05-05 00:00:00;ËÎÆÜ
15;G_APPD;G_APPD_Seq_2;0,975;00:00:00;2020-04-17 00:00:00;ËÎÆÜ
16;G_APRRG;G_APRRG_Seq_8;2 days, 11:21:07.200;00:00:00;2020-04-23 00:00:00;ÈÑÒÈÍÀ
17;G_APGKRD;G_APGKRD_Seq_12;1 day, 20:06:43.200;00:00:00;2020-04-27 00:00:00;ËÎÆÜ
18;G_APRRG;G_APRRG_Seq_22;2 days, 11:21:07.200;00:00:00;2020-05-07 00:00:00;ÈÑÒÈÍÀ
19;G_APPD;G_APPD_Seq_14;0,975;00:00:00;2020-04-29 00:00:00;ËÎÆÜ
20;G_APRRG;G_APRRG_Seq_19;2 days, 11:21:07.200;00:00:00;2020-05-04 00:00:00;ÈÑÒÈÍÀ
21;G_APRRG;G_APRRG_Seq_13;2 days, 11:21:07.200;00:00:00;2020-04-28 00:00:00;ÈÑÒÈÍÀ
22;G_ANGC3H;G_ANGC3H_Seq_15;23:40:16.320;00:00:00;2020-04-30 00:00:00;ËÎÆÜ
23;G_ANGC3H;G_ANGC3H_Seq_9;23:40:16.320;00:00:00;2020-04-24 00:00:00;ËÎÆÜ
24;G_ANGC3H;G_ANGC3H_Seq_8;23:40:16.320;00:00:00;2020-04-23 00:00:00;ËÎÆÜ
25;G_ANGC3H;G_ANGC3H_Seq_22;23:40:16.320;00:00:00;2020-05-07 00:00:00;ËÎÆÜ
26;G_TRUCK3;G_TRUCK3_Seq_41;1 day;00:00:00;2020-05-26 00:00:00;ËÎÆÜ
27;G_APGKRD;G_APGKRD_Seq_13;1 day, 5:24:28.800;00:00:00;2020-04-28 00:00:00;ËÎÆÜ
28;G_NTAD;G_NTAD_Seq_14;17:21:59.040;00:00:00;2020-04-29 00:00:00;ÈÑÒÈÍÀ
29;G_ARG2T;G_ARG2T_Seq_38;1 day;00:00:00;2020-05-23 00:00:00;ËÎÆÜ
30;G_APGKRD;G_APGKRD_Seq_23;1 day, 5:24:28.800;00:00:00;2020-05-08 00:00:00;ËÎÆÜ
31;G_AR3T;G_AR3T_Seq_42;1 day;00:00:00;2020-05-27 00:00:00;ËÎÆÜ
32;G_OTGRD;G_OTGRD_Seq_4;1 day;00:00:00;2020-04-19 00:00:00;ËÎÆÜ
33;G_ANOH;G_ANOH_Seq_24;1 day;00:00:00;2020-05-09 00:00:00;ËÎÆÜ
34;G_OTGRH;G_OTGRH_Seq_26;1 day;00:00:00;2020-05-11 00:00:00;ËÎÆÜ
35;G_UPAT;G_UPAT_Seq_43;1 day;00:00:00;2020-05-28 00:00:00;ËÎÆÜ
36;G_ANOH;G_ANOH_Seq_16;1 day;00:00:00;2020-05-01 00:00:00;ËÎÆÜ
37;G_ARG2T;G_ARG2T_Seq_25;1 day;00:00:00;2020-05-10 00:00:00;ËÎÆÜ
38;G_RTRAIN6;G_RTRAIN6_Seq_30;1 day;00:00:00;2020-05-15 00:00:00;ËÎÆÜ
39;G_UPAT;G_UPAT_Seq_15;1 day;00:00:00;2020-04-30 00:00:00;ËÎÆÜ
40;G_TRUCK6;G_TRUCK6_Seq_25;1 day;00:00:00;2020-05-10 00:00:00;ËÎÆÜ
41;G_OTGRO2;G_OTGRO2_Seq_4;1 day;00:00:00;2020-04-19 00:00:00;ËÎÆÜ
42;G_OTGRT;G_OTGRT_Seq_2;1 day;00:00:00;2020-04-17 00:00:00;ËÎÆÜ
43;G_ANOH;G_ANOH_Seq_9;1 day;00:00:00;2020-04-24 00:00:00;ËÎÆÜ
44;G_OTGRH;G_OTGRH_Seq_8;1 day;00:00:00;2020-04-23 00:00:00;ËÎÆÜ
45;G_ANOH;G_ANOH_Seq_10;1 day;00:00:00;2020-04-25 00:00:00;ËÎÆÜ
46;G_OTGRG;G_OTGRG_Seq_17;1 day;00:00:00;2020-05-02 00:00:00;ËÎÆÜ
47;G_STRS1H;G_STRS1H_Seq_24;1 day;00:00:00;2020-05-09 00:00:00;ËÎÆÜ
48;G_STRS1H;G_STRS1H_Seq_2;1 day;00:00:00;2020-04-17 00:00:00;ËÎÆÜ
49;G_STRS1H;G_STRS1H_Seq_22;1 day;00:00:00;2020-05-07 00:00:00;ËÎÆÜ
50;G_AOAD;G_AOAD_Seq_40;1 day;00:00:00;2020-05-25 00:00:00;ËÎÆÜ
51;G_OTGRH;G_OTGRH_Seq_13;1 day;00:00:00;2020-04-28 00:00:00;ËÎÆÜ
52;G_ARG2T;G_ARG2T_Seq_19;1 day;00:00:00;2020-05-04 00:00:00;ËÎÆÜ
53;G_AR3T;G_AR3T_Seq_37;1 day;00:00:00;2020-05-22 00:00:00;ËÎÆÜ
54;G_OTGRO2;G_OTGRO2_Seq_3;1 day;00:00:00;2020-04-18 00:00:00;ËÎÆÜ
55;G_ANOH;G_ANOH_Seq_17;1 day;00:00:00;2020-05-02 00:00:00;ËÎÆÜ
56;G_OTGRT;G_OTGRT_Seq_22;1 day;00:00:00;2020-05-07 00:00:00;ËÎÆÜ
57;G_ANOH;G_ANOH_Seq_22;1 day;00:00:00;2020-05-07 00:00:00;ËÎÆÜ
58;G_ST200G;G_ST200G_Seq_12;21:30:57.600;00:00:00;2020-04-27 00:00:00;ÈÑÒÈÍÀ
59;G_OTGRH;G_OTGRH_Seq_22;1 day;00:00:00;2020-05-07 00:00:00;ËÎÆÜ
60;G_UPAT;G_UPAT_Seq_44;1 day;00:00:00;2020-05-29 00:00:00;ËÎÆÜ
61;G_OTGRG;G_OTGRG_Seq_18;1 day;00:00:00;2020-05-03 00:00:00;ËÎÆÜ
62;G_AR3T;G_AR3T_Seq_23;1 day;00:00:00;2020-05-08 00:00:00;ËÎÆÜ
63;G_ANOG3T;G_ANOG3T_Seq_16;0;00:00:00;2020-05-01 00:00:00;ËÎÆÜ
64;CGP_IN2;CGP_IN2_Seq_57;0;00:00:00;2021-02-27 00:00:00;ËÎÆÜ
65;G_ANOG3T;G_ANOG3T_Seq_6;0;00:00:00;2020-04-21 00:00:00;ËÎÆÜ
66;CGP_IN2;CGP_IN2_Seq_24;0;00:00:00;2020-05-09 00:00:00;ËÎÆÜ
67;CGP_IN2;CGP_IN2_Seq_8;0;00:00:00;2020-04-23 00:00:00;ËÎÆÜ
68;CGP_IN1;CGP_IN1_Seq_32;0;00:00:00;2020-05-17 00:00:00;ËÎÆÜ
69;CGP_IN1;CGP_IN1_Seq_51;0;00:00:00;2020-08-27 00:00:00;ËÎÆÜ
70;G_ANOG3T;G_ANOG3T_Seq_47;0;00:00:00;2020-06-13 00:00:00;ËÎÆÜ
71;G_NTAD;G_NTAD_Seq_20;23:09:18.720;00:00:00;2020-05-05 00:00:00;ÈÑÒÈÍÀ
72;CGP_IN;CGP_IN_Seq_48;0;00:00:00;2020-06-20 00:00:00;ËÎÆÜ
73;G_ANOG3T;G_ANOG3T_Seq_21;0;00:00:00;2020-05-06 00:00:00;ËÎÆÜ
74;CGP_IN1;CGP_IN1_Seq_23;0;00:00:00;2020-05-08 00:00:00;ËÎÆÜ
75;G_ANOG1T;G_ANOG1T_Seq_28;0;00:00:00;2020-05-13 00:00:00;ËÎÆÜ
76;CGP_IN1;CGP_IN1_Seq_49;0;00:00:00;2020-06-27 00:00:00;ËÎÆÜ
77;CGP_IN2;CGP_IN2_Seq_40;0;00:00:00;2020-05-25 00:00:00;ËÎÆÜ
78;G_OTGRG;G_OTGRG_Seq_8;1 day;00:00:00;2020-04-23 00:00:00;ËÎÆÜ
79;G_ANOG3T;G_ANOG3T_Seq_51;0;00:00:00;2020-08-27 00:00:00;ËÎÆÜ
80;CGP_IN2;CGP_IN2_Seq_43;0;00:00:00;2020-05-28 00:00:00;ËÎÆÜ
81;G_ANOG3T;G_ANOG3T_Seq_55;0;00:00:00;2020-12-27 00:00:00;ËÎÆÜ
82;CGP_IN1;CGP_IN1_Seq_21;0;00:00:00;2020-05-06 00:00:00;ËÎÆÜ
83;G_ANOG1T;G_ANOG1T_Seq_4;0;00:00:00;2020-04-19 00:00:00;ËÎÆÜ
84;G_ANOG3T;G_ANOG3T_Seq_41;0;00:00:00;2020-05-26 00:00:00;ËÎÆÜ
85;CGP_IN1;CGP_IN1_Seq_56;0;00:00:00;2021-01-27 00:00:00;ËÎÆÜ
86;G_ANOG3T;G_ANOG3T_Seq_7;0;00:00:00;2020-04-22 00:00:00;ËÎÆÜ
